Number,Theme,Name,Minifigs,Pieces,USPrice
4653,4 Juniors,Dump Truck,1,27,10
4858,4 Juniors,Doc Ock's Crime Spree,3,55,15
4860,4 Juniors,Doc Ock's Cafe Attack,3,130,30
7070,4 Juniors,Catapult Raft,1,22,5
7072,4 Juniors,Captain Kragg's Pirate Boat,1,36,13
7075,4 Juniors,Captain Redbeard's Pirate Ship,4,131,40
2913,Action Wheelers,Construction,2,29,30
10182,Advanced Models,Cafe Corner,3,2056,139.99
10194,Advanced Models,Emerald Night,3,1085,99.99
10197,Advanced Models,Fire Brigade,4,2231,149.99
10244,Advanced Models,Fairground Mixer,12,1746,149.99
10246,Advanced Models,Detective's Office,6,2262,159.99
10247,Advanced Models,Ferris Wheel,10,2464,199.99
10257,Advanced Models,Carousel,7,2670,199.99
10260,Advanced Models,Downtown Diner,6,2480,169.99
2879,Adventurers,Desert Expedition,5,196,20
5913,Adventurers,Dr. Kilroy's Car,1,21,3
5934,Adventurers,Dino Explorer,2,90,15
5948,Adventurers,Desert Expedition,5,196,20
5956,Adventurers,Expedition Balloon,4,175,20
5987,Adventurers,Dino Research Compound,6,617,80
7414,Adventurers,Elephant Caravan,3,86,20
7416,Adventurers,Emperor's Ship,3,177,20
7419,Adventurers,Dragon Fortress,9,732,90
8636,Agents,Deep Sea Quest,4,520,49.99
4742,Alpha Team,Chill Speeder,1,58,4
4798,Alpha Team,Evil Ogel Attack,1,21,3
7770,Aqua Raiders,Deep Sea Treasure Hunter,1,75,4.99
7774,Aqua Raiders,Crab Crusher,3,590,49.99
1728,Aquazone,Crystal Crawler,1,97,10
2160,Aquazone,Crystal Scavenger,1,110,15
6140,Aquazone,Crab,1,78,10
6145,Aquazone,Crystal Crawler,1,96,12
6150,Aquazone,Crystal Detector,1,104,20
6155,Aquazone,Deep Sea Predator,1,103,22
6175,Aquazone,Crystal Explorer Sub,2,167,33
7984,Atlantis,Deep Sea Raider,2,265,29.99
7985,Atlantis,City of Atlantis,5,686,69.99
8076,Atlantis,Deep Sea Striker,1,260,19.99
