State,Per capita income,Population,Median household income,Number of households
Puerto Rico,11241,3548397,18928,1233490
Mississippi,21036,2994079,39680,1095823
West Virginia,22714,1850326,41059,735375
Arkansas,22883,2966369,41262,1131288
Alabama,23606,4849377,42830,1841217
New Mexico,23683,2085572,44803,760916
Kentucky,23684,4413457,42958,1712094
Idaho,23938,1634464,47861,591587
South Carolina,24596,4832482,45238,1826914
Louisiana,24800,4649676,44555,1718194
Utah,24877,2942902,60922,918370
Tennessee,24922,6549352,44361,2509665
Indiana,25140,6596855,49446,2502739
Oklahoma,25229,3878051,47529,1459759
Georgia,25615,10097343,49321,3587521
Arizona,25715,6731484,50068,2428743
Nevada,25773,2839099,51450,1021519
North Carolina,25774,9943964,46556,3790620
Montana,25989,1023579,46328,410962
Missouri,26126,6063589,48363,2354809
Florida,26582,19893297,47463,7328046
Michigan,26613,9909877,49847,3834574
Ohio,26937,11594163,49308,4593172
South Dakota,26959,853175,50979,334475
Texas,27125,26956958,53035,9277197
Nebraska,27446,1881503,52686,740765
Oregon,27646,3970239,51075,1535511
Kansas,27870,2904021,52504,1109280
Maine,27978,1330089,49462,549841
Wisconsin,28213,5757564,52622,2307685
Iowa,28361,3107126,53712,1241471
United States,28889,318857056,53657,117259427
Vermont,29178,626562,54166,257229
Pennsylvania,29220,12787209,53234,4945972
Wyoming,29698,584153,57055,232594
Hawaii,29736,1419561,69592,450769
Illinois,30417,12880580,57444,4772421
California,30441,38802500,61933,12758648
Delaware,30488,935614,59716,349743
Rhode Island,30830,1055173,54891,409654
Washington,31841,7061530,61366,2679601
Colorado,32357,5355866,61303,2039592
Minnesota,32638,5457173,61481,2129195
Alaska,33062,736732,71583,249659
North Dakota,33071,739482,59029,305431
New York,33095,19746227,58878,7282398
Virginia,34052,8326289,64902,3083820
New Hampshire,34691,1326813,66532,519756
Maryland,36338,5976407,73971,2165438
Massachusetts,36593,6938608,71919,3194844
New Jersey,37288,8938175,69160,2549336
Connecticut,39373,3596677,70048,1355817
District of Columbia,45877,658893,71648,277378
